"Species","stem.g.F","leaf.g.F","repr.g.F","root.g.F","total.g.F","root.shoot.F","CN.F","RGRt.F","RGR.la.F","d13C.F","D13C.F","SLA.F","stem.g.GH","leaf.g.GH","repr.g.GH","root.g.GH","total.g.GH","root.shoot.GH","CN.GH","RGRt.GH","RGR.la.GH","d13C.GH","D13C.GH","SLA.GH"
"Agoseris heterophylla",0.0145,0.0175,0.016,NA,0.048,NA,22.5838598843642,NA,0.017577547250182,-31.78,24.5605337629877,413.554657287157,2.7425,1.444,1.3165,7.648,13.151,1.82682431625463,26.9100082291955,0.0975162007600123,0.065519720519872,-31.72125,24.4983688839603,253.48544811066
"Calycadenia pauciflora",0.0493,0.0452,0.0235,NA,0.118,NA,42.8969891445956,NA,0.00657220866098199,-28.6,21.206506073708,54.5559523809524,5.892,3.476,2.2435,3.15,14.7615,0.336251067463706,27.6368979483475,0.0685650917371834,0.0416124703563378,-30.95375,23.6869499262806,60.8863636363636
"Clarkia purpurea",0.0964,0.063,0.0619,NA,0.2213,NA,24.4741867318557,NA,0.012867570693804,-29.412,22.0608538329343,87.0447635697636,4.7645,1.6625,5.486,1.5845,13.4975,0.246538042632644,21.8780938909965,0.0929373297256439,0.0591702515852811,-30.2925,22.988890980012,138.113200618826
"Hemizonia congesta",0.6358,0.37525,0.18655,NA,1.1976,NA,24.1626436993638,NA,0.0112431045997816,-28.01,20.5866315497073,64.0496757628337,9.145,3.815,1.254,10.5175,24.7315,0.811535493827161,17.2869837652257,0.071483335260882,0.0514019083429754,-29.9875,22.6672336696692,87.9
"Lasthenia californica",0.0024,0.0044,0.0045,NA,0.0113,NA,17.6253148243509,NA,0.0262850250244112,-31.678,24.4526097723691,240.139899610623,0.9115,0.6625,0.518,0.746,2.838,0.473951715374841,11.4507198034856,0.130706253875934,0.097798748029105,-32.29625,25.1071156849397,349.085767961945
"Plantago erecta",0.00245,0.01125,0.00465,NA,0.01835,NA,25.3186776247086,NA,0.0240786040895487,-30.736,23.456973538685,130.662559618025,0.9525,1.1005,3.0495,0.963,6.0655,0.469069654164637,14.5394233402544,0.075090169158551,0.0661523292600653,-31.54375,24.3105974069557,177.139304329194
