"Species","Plot","Subplot","Treat.Code","Year","Date","flo.a","flo.b","flo.c","avg.flo","sd.flo","n.ind","avg.seed.inf","n.seed.ind","cov.g","p.viable"
"Plantago erecta",85,"Thatch","D",2017,2017-05-19,0,2,7,3.8,0.836660026534076,5,2,7.6,95,0.896396396
"Plantago erecta",95,"Thatch","D",2017,2017-05-19,0,7,8,2,0.707106781186548,5,2,4,60,0.896396396
"Plantago erecta",97,"Thatch","D",2017,2017-05-19,0,15,0,5,2,5,2,10,60,0.896396396
"Plantago erecta",50,"No Grass","C",2017,2017-05-19,0,15,0,3.2,0.836660026534076,5,2,6.4,NA,0.896396396
"Plantago erecta",15,"Thatch","W",2017,2017-05-19,0,10,5,3.8,2.04939015319192,5,2,7.6,60,0.896396396
"Plantago erecta",82,"No Grass","C",2017,2017-05-19,0,5,3,7.8,5.54075807087803,5,2,15.6,NA,0.896396396
"Plantago erecta",23,"Thatch","W",2017,2017-05-19,0,10,4,6.6,2.79284800875379,5,2,13.2,50,0.896396396
"Plantago erecta",30,"No Grass","C",2017,2017-05-19,0,0,15,4.8,2.28035085019828,5,2,9.6,NA,0.896396396
"Plantago erecta",93,"Grass","D",2017,2017-04-09,9,6,0,2,0,5,2,4,35,0.896396396
"Plantago erecta",99,"Thatch","D",2017,2017-04-09,2,1,0,2,NA,1,2,4,100,0.896396396
"Plantago erecta",92,"Grass","C",2017,2017-05-19,0,11,4,3.8,1.48323969741913,5,2,7.6,100,0.896396396
"Plantago erecta",87,"Thatch","D",2017,2017-04-09,10,3,0,1.33333333333333,0.577350269189626,3,2,2.66666666666667,40,0.896396396
"Plantago erecta",55,"Grass","W",2017,2017-05-19,0,1,14,3.6,1.14017542509914,5,2,7.2,40,0.896396396
"Plantago erecta",30,"Grass","C",2017,2017-05-19,0,8,7,4.4,1.81659021245849,5,2,8.8,75,0.896396396
"Plantago erecta",89,"Thatch","D",2017,2017-05-19,0,0,10,1.6,0.894427190999916,5,2,3.2,60,0.896396396
"Plantago erecta",18,"Thatch","C",2017,2017-05-19,0,5,10,2.4,0.547722557505166,5,2,4.8,95,0.896396396
"Plantago erecta",17,"No Grass","W",2017,2017-05-19,0,4,10,12.8,5.84807660688538,5,2,25.6,NA,0.896396396
"Plantago erecta",15,"No Grass","W",2017,2017-05-19,0,8,7,5,3.53553390593274,5,2,10,NA,0.896396396
"Plantago erecta",84,"No Grass","C",2017,2017-05-19,0,3,12,4.2,1.09544511501033,5,2,8.4,NA,0.896396396
"Plantago erecta",81,"No Grass","D",2017,2017-04-09,12,3,0,1.66666666666667,0.577350269189626,3,2,3.33333333333333,NA,0.896396396
"Plantago erecta",91,"Grass","D",2017,2017-04-09,11,4,0,3.5,1,4,2,7,55,0.896396396
"Plantago erecta",59,"Grass","W",2017,2017-04-09,8,7,0,3,2.91547594742265,5,2,6,100,0.896396396
