Species,Plot,Subplot,Treat.Code,Year,Date,flo.a,flo.b,flo.c,avg.flo,sd.flo,n.ind,avg.seed.inf,n.seed.ind,cov.g,p.viable
Clarkia purpurea,56,No Grass,C,2017,6/26/17,0,0,7,1,0,5,5.833333333,5.833333333,NA,0.342727273
Clarkia purpurea,86,Grass,C,2017,6/26/17,0,0,0,1,0,5,2.2,2.2,40,0.342727273
Clarkia purpurea,96,Grass,C,2017,6/26/17,0,0,1,1,NA,1,NA,NA,25,0.342727273
Clarkia purpurea,96,No Grass,C,2017,6/26/17,0,0,1,1,NA,1,1,1,NA,0.342727273
Clarkia purpurea,98,Grass,C,2017,5/19/17,1,0,0,1,NA,1,NA,NA,80,0.342727273
Clarkia purpurea,92,No Grass,C,2017,6/26/17,0,0,2,1,0,2,13,13,NA,0.342727273
Clarkia purpurea,82,Grass,C,2017,6/26/17,0,0,3,1,0,3,2,2,45,0.342727273
Clarkia purpurea,92,Thatch,C,2017,6/26/17,0,0,1,1,NA,1,13,13,80,0.342727273
Clarkia purpurea,86,Thatch,C,2017,6/26/17,0,0,3,1,0,3,0.666666667,0.666666667,45,0.342727273
Clarkia purpurea,50,Thatch,C,2017,6/26/17,0,0,1,1,NA,1,2,2,80,0.342727273
Clarkia purpurea,82,Thatch,C,2017,6/26/17,0,0,1,1,NA,1,10,10,80,0.342727273
Clarkia purpurea,84,Thatch,C,2017,6/26/17,0,0,4,1,0,4,2.75,2.75,90,0.342727273
Clarkia purpurea,86,No Grass,C,2017,6/26/17,0,0,2,1,0,2,3.5,3.5,NA,0.342727273
Clarkia purpurea,96,Thatch,C,2017,6/26/17,0,0,1,1,NA,1,19,19,80,0.342727273
Clarkia purpurea,30,No Grass,C,2017,6/26/17,0,0,9,1,0,5,19,19,NA,0.342727273
Clarkia purpurea,56,Thatch,C,2017,5/19/17,1,0,0,1,NA,1,NA,NA,55,0.342727273
Clarkia purpurea,50,No Grass,C,2017,6/26/17,0,0,6,1.2,0.447213595,5,15.75,18.9,NA,0.342727273
Clarkia purpurea,98,No Grass,C,2017,5/19/17,2,0,0,1.5,0.707106781,2,NA,NA,NA,0.342727273
Clarkia purpurea,84,Grass,C,2017,6/26/17,0,0,3,1.333333333,0.577350269,3,9.75,13,50,0.342727273
Clarkia purpurea,98,Thatch,C,2017,5/19/17,3,0,0,1,0,3,NA,NA,30,0.342727273
Clarkia purpurea,30,Grass,C,2017,5/19/17,0,0,13,1,0,5,21.4,21.4,75,0.342727273
Clarkia purpurea,56,Grass,C,2017,6/26/17,0,0,5,1,0,5,3.2,3.2,80,0.342727273
Hemizonia congesta,92,Thatch,C,2017,8/21/17,0,6,0,8.8,4.7644517,5,2.8,24.64,80,0.479375
Hemizonia congesta,50,No Grass,C,2017,8/21/17,0,0,5,4.75,0.5,4,3.2,15.2,NA,0.479375
Hemizonia congesta,96,No Grass,C,2017,8/21/17,0,0,7,9,7.03562364,5,3,27,NA,0.479375
Hemizonia congesta,96,Grass,C,2017,8/21/17,0,0,8,5.8,6.340346994,5,4,23.2,25,0.479375
Hemizonia congesta,82,Thatch,C,2017,8/21/17,1,0,1,5,2.828427125,2,3.4,17,80,0.479375
Hemizonia congesta,96,Thatch,C,2017,8/21/17,0,0,12,6.6,6.348228099,5,2,13.2,80,0.479375
Hemizonia congesta,86,No Grass,C,2017,8/21/17,0,0,11,27.2,7.190271205,5,4.8,130.56,NA,0.479375
Hemizonia congesta,18,Grass,C,2017,8/21/17,0,0,7,12.2,8.729261137,5,2.8,34.16,95,0.479375
Hemizonia congesta,84,Thatch,C,2017,8/21/17,0,0,8,8.6,7.092249291,5,4.4,37.84,90,0.479375
Hemizonia congesta,84,Grass,C,2017,8/21/17,1,1,7,8.6,5.224940191,5,2.6,22.36,50,0.479375
Hemizonia congesta,56,No Grass,C,2017,8/21/17,0,0,7,10.2,3.492849839,5,2.8,28.56,NA,0.479375
Hemizonia congesta,82,Grass,C,2017,8/21/17,3,1,1,3.6,1.140175425,5,5.2,18.72,45,0.479375
Hemizonia congesta,56,Grass,C,2017,8/21/17,0,0,9,7.2,2.588435821,5,3.8,27.36,80,0.479375
Hemizonia congesta,56,Thatch,C,2017,8/21/17,0,0,8,5,3.674234614,5,3,15,55,0.479375
Hemizonia congesta,92,No Grass,C,2017,8/21/17,0,0,9,6.8,6.534523701,5,2.4,16.32,NA,0.479375
Hemizonia congesta,50,Thatch,C,2017,8/21/17,0,0,3,4.666666667,2.516611478,3,2.2,10.26666667,80,0.479375
Hemizonia congesta,86,Thatch,C,2017,8/21/17,0,0,7,21.4,7.829431652,5,3,64.2,45,0.479375
Hemizonia congesta,18,No Grass,C,2017,8/21/17,0,0,6,14,6.633249581,5,4,56,NA,0.479375
Hemizonia congesta,98,Grass,C,2017,8/21/17,0,0,10,4,2.121320344,5,2.6,10.4,80,0.479375
Hemizonia congesta,18,Thatch,C,2017,8/21/17,0,0,0,13.4,7.231873893,5,3.4,45.56,95,0.479375
